tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes,actor,actress,producer
tt0101698,Defending Your Life,Defending Your Life,1991,112,"Comedy,Drama,Fantasy",nm0000983,nm0000983,7.2,22903,"nm0000983,nm0001800,nm0775872,nm0936011,nm0063460","nm0000658,nm0335519,nm0167784,nm0835852,nm0085188",nm0342045
tt0101700,Delicatessen,Delicatessen,1991,99,"Comedy,Crime","nm0001988,nm0000466","nm0000466,nm0001988,nm0012496",7.5,93405,"nm0684500,nm0070991,nm0237835,nm0390458,nm0417508,nm0865313","nm0235342,nm0895759,nm0685373,nm0449165","nm0165983,nm0002020,nm13616155,nm0652226"
tt0101733,Dil Hai Ki Manta Nahin,Dil Hai Ki Manta Nahin,1991,154,"Adventure,Comedy,Drama",nm0080315,"nm0080327,nm0430816",7.2,4949,"nm0451148,nm0451600,nm1175194,nm0848308,nm0066075,nm0768297,nm0318622,nm0451272,nm0451242",nm0080324,nm0474806
tt0101739,The Divine Comedy,A Divina Comédia,1991,140,Drama,nm0210701,"nm0210701,nm0234502,nm0753675,nm0631346,nm15640129",7.1,538,"nm0346962,nm0162502,nm0896598,nm0246822,nm0559247,nm0909012,nm0299144,nm0326860","nm0210218,nm0798611",nm0104418
tt0101746,The Doctor,The Doctor,1991,122,Drama,nm0354279,"nm0742126,nm0145781",6.9,6191,"nm0000458,nm0001597,nm0035060,nm0001432,nm0534409,nm0293422,nm0549884","nm0001441,nm0001610,nm0187724",nm0957205
tt0101748,Dogfight,Dogfight,1991,94,"Comedy,Drama,Romance",nm0001700,nm0173798,7.3,11025,"nm0000203,nm0659325,nm0163659,nm0925943,nm0789657","nm0000666,nm0623783,nm0197354,nm0602772,nm0557780","nm0345491,nm0628226"
tt0101761,The Doors,The Doors,1991,140,"Biography,Drama,Music",nm0000231,"nm0415745,nm0000231",7.2,105840,"nm0000174,nm0001492,nm0001844,nm0001143,nm0000699,nm0000514,nm0262923,nm0122036,nm0002150",nm0000212,"nm0333931,nm0361838,nm0457715"
tt0101765,The Double Life of Véronique,La double vie de Véronique,1991,98,"Drama,Fantasy,Music",nm0001425,"nm0001425,nm0682830",7.6,56235,"nm0468651,nm0054270,nm0345616,nm0827989,nm0901812,nm0239985","nm0001393,nm0001393,nm0344798,nm0420065,nm0241487",nm0209250
tt0101772,The Boys from St. Petri,Drengene fra Sankt Petri,1991,111,"Drama,War",nm0469273,"nm0720675,nm0469273",7.0,2409,"nm0421716,nm0117924,nm0509263,nm0345041,nm0082346,nm0405334,nm0461339,nm0577167","nm0479973,nm0479973,nm0845679",nm0159843
tt0101783,God of Gamblers Part III: Back to Shanghai,Do haap II: Seung Hoi taam do sing,1991,116,"Comedy,Crime,Drama",nm0939147,"nm0939147,nm0311508,nm0477035,nm0628838",6.6,2868,"nm0159507,nm0159507,nm0514998,nm0628806,nm0628806,nm0381857,nm0381857,nm0938944,nm0526695","nm0000084,nm0000084,nm0510950,nm0939391,nm0156522","nm0381857,nm0381858,nm0939147"
tt0101798,Edward II,Edward II,1991,87,"Drama,History,Romance",nm0418746,"nm0549265,nm0418746,nm0564374,nm0125010",6.8,3296,"nm0905357,nm0172454,nm0862907,nm0001487,nm0840303,nm0283492,nm0333219,nm0856050","nm0842770,nm0049607","nm0164626,nm0740501"
tt0101811,Enchanted April,Enchanted April,1991,95,Drama,nm0001565,"nm0901896,nm0055726",7.3,7673,"nm0000547,nm0680670,nm0000980,nm0457655,nm0065721,nm0705532","nm0687506,nm0001669,nm0908116,nm0492856",nm0778840
tt0101829,Europa,Europa,1991,108,"Crime,Drama,Thriller",nm0001885,"nm0001885,nm0905071",7.5,24358,"nm0000852,nm0001424,nm0433495,nm0618017,nm0715866,nm0421473,nm0176061,nm0001884,nm0693689",nm0837784,"nm0159734,nm0421639"
tt0101862,Father of the Bride,Father of the Bride,1991,105,"Comedy,Family,Romance",nm0796124,"nm0329304,nm0352443,nm0583600,nm0796124",6.6,91022,"nm0000188,nm0001737,nm0001085,nm0627624,nm0000703,nm0324533","nm0000473,nm0931090,nm0570033,nm0371714","nm0062071,nm0583600,nm0742651"
tt0101889,The Fisher King,The Fisher King,1991,137,"Comedy,Drama,Fantasy",nm0000416,nm0481418,7.5,95481,"nm0000313,nm0000245,nm0117035,nm3051240,nm0001383,nm0743874,nm0647493,nm0808235","nm0364973,nm0001689","nm0384185,nm0643553"
tt0101891,The Five Heartbeats,The Five Heartbeats,1991,121,"Drama,Music",nm0870186,"nm0870186,nm0005540",7.6,5253,"nm0870186,nm0942646,nm0502442,nm0502015,nm0920446,nm0629389,nm0855825,nm0666157","nm0140792,nm0859606","nm0428699,nm0870186"
tt0101898,Flirting,Flirting,1991,99,"Drama,Romance",nm0241090,nm0241090,7.1,6704,"nm0852965,nm0741261,nm0633534,nm0681805,nm0660924,nm0336802,nm1112992,nm0550975","nm0628601,nm0000173","nm0371249,nm0004306,nm0593294"
tt0101912,Frankie and Johnny,Frankie & Johnny,1991,118,"Comedy,Drama,Romance",nm0005190,nm0573645,6.8,37529,"nm0000199,nm0001185,nm0001447,nm0507239,nm0266802,nm0530112","nm0000201,nm0625075,nm0606623,nm0444185",nm0005190
tt0101921,Fried Green Tomatoes,Fried Green Tomatoes,1991,130,Drama,nm0000816,"nm0280840,nm0811807",7.7,89493,"nm0000563,nm0789976,nm0765605,nm0779850,nm0059630","nm0000870,nm0001788,nm0000524,nm0000571,nm0001807","nm0000816,nm0449549"
tt0101923,La Frontera,La Frontera,1991,120,Drama,nm0488555,"nm0325529,nm0488555",7.4,526,"nm0176536,nm0892991,nm0773325,nm0076105,nm0634077,nm0120556,nm0721486,nm0380139","nm0489739,nm0687819",
tt0101943,Geniy,Geniy,1991,162,"Comedy,Crime",nm0785112,nm0012997,7.2,907,"nm0008311,nm0810550,nm0476814,nm0698562,nm0476828,nm0560542,nm0407720,nm0807055","nm0069403,nm0848349",
tt0101956,The Secret Face,Gizli Yüz,1991,118,"Drama,Romance",nm0442693,nm0658988,7.0,1385,"nm0476334,nm0951091,nm0443741,nm0436315,nm0408462,nm1146609,nm7874406,nm0015629","nm0646041,nm0272240",nm1435144
tt0101969,Grand Canyon,Grand Canyon,1991,134,"Crime,Drama",nm0001410,"nm0001410,nm0440462",6.9,17332,"nm0000418,nm0000177,nm0000188,nm0005438,nm0540491,nm0577870","nm0001521,nm0000571,nm0005569,nm0509824","nm0342045,nm0001410,nm0645795"
tt0101984,Guilty by Suspicion,Guilty by Suspicion,1991,105,Drama,nm0005563,nm0005563,6.6,10277,"nm0000134,nm0001841,nm0910737,nm0250180,nm0177933,nm0681319,nm0000217,nm0697587","nm0000906,nm0923210",nm0586969
tt0101985,A Brighter Summer Day,Guling jie shaonian sharen shijian,1991,237,"Crime,Drama,Romance",nm0945981,"nm0945981,nm0795908,nm0591312,nm0393297",8.2,14595,"nm0151654,nm0151755,nm0359217,nm0910860,nm0461940","nm0946026,nm0157805,nm0431732,nm0944594,nm0266966",nm0946095
tt0101991,Rhapsody in August,Hachigatsu no rapusodî,1991,98,"Drama,War",nm0000041,"nm0613594,nm0000041,nm0393094",7.2,8098,"nm0000152,nm0407030,nm0410659,nm0949069,nm0442876","nm0613561,nm0443238,nm0652712,nm0624383,nm0840643",nm0475902
tt0101995,Hamis a baba,Hamis a baba,1991,82,"Comedy,Crime",nm0119725,nm0119725,7.0,1149,"nm0119725,nm0469050,nm0449431,nm0845604,nm0042800,nm0878442,nm0844102","nm0435950,nm0660175,nm0333157",
tt0101998,Hangin' with the Homeboys,Hangin' with the Homeboys,1991,88,"Comedy,Drama",nm0890687,nm0890687,6.9,1650,"nm0234791,nm0431660,nm0000491,nm0785594,nm0785594,nm0599898,nm0709738","nm0751274,nm0911719,nm0163473,nm0414008",nm0003673
tt0102014,Hear My Song,Hear My Song,1991,104,"Comedy,Drama,Music",nm0155093,"nm0155093,nm0001160",7.0,2039,"nm0000885,nm0001160,nm0281011,nm0446794,nm0197419,nm0007154","nm0184817,nm0612027,nm0087179,nm0001216",nm0654077
tt0102015,Hearts of Darkness: A Filmmaker's Apocalypse,Hearts of Darkness: A Filmmaker's Apocalypse,1991,96,Documentary,"nm0046943,nm0382584,nm0178880","nm0046943,nm0382584",8.1,25236,,,"nm0562645,nm0004043"
tt0102035,Highway 61,Highway 61,1991,102,"Comedy,Music",nm0567680,"nm0535821,nm0567680,nm0001528",7.0,1553,"nm0001528,nm0664387,nm0106539,nm0074889,nm0080470,nm0265942,nm0039494","nm0119541,nm0643427,nm0942897","nm0002418,nm0567680"
tt0102048,Homicide,Homicide,1991,102,"Crime,Mystery,Thriller",nm0000519,nm0000519,6.9,8773,"nm0001505,nm0000513,nm0345466,nm0426666,nm0908685,nm0809117,nm0833429,nm0336470,nm0125084",nm0193799,"nm0369592,nm0696299"
tt0102050,Voyager,Homo Faber,1991,117,"Drama,Romance",nm0772522,"nm0772522,nm0943382,nm0295835,nm3508863",6.7,3750,"nm0001731,nm0456290,nm0957178,nm0374610,nm0242506,nm0075655","nm0000365,nm0837784,nm0511270,nm0299028",nm0432723
tt0102057,Hook,Hook,1991,142,"Adventure,Comedy,Family",nm0000229,"nm0057381,nm0366337,nm0145309,nm0549369",6.8,286956,"nm0000163,nm0000245,nm0000245,nm0001364,nm0001432,nm0002015","nm0000210,nm0001749,nm0328751,nm0778825,nm0188778","nm0005086,nm0550881,nm0596520"
tt0102058,Out of Life,Hors la vie,1991,97,"Crime,Drama,War",nm0046554,"nm1627465,nm0046554,nm0213939,nm0451898",6.8,539,"nm0320762,nm0014105,nm0768629,nm0358829,nm0532653,nm0267329,nm2846498,nm0621912,nm2846613",nm1372521,"nm0303065,nm0321339,nm0674742"
tt0102059,Hot Shots!,Hot Shots!,1991,85,"Action,Comedy",nm0000720,"nm0000720,nm0698493",6.7,123578,"nm0000221,nm0000221,nm0000221,nm0000144,nm0000978,nm0242656,nm0001083,nm0641640,nm0956544,nm0410347","nm0000420,nm0000420,nm0000420,nm0001785",nm0045927
tt0102071,Hum,Hum,1991,184,"Action,Comedy,Drama",nm0002172,"nm1174579,nm1226230,nm0434318",6.9,3641,"nm0000821,nm0000821,nm0707425,nm0332871,nm0219939,nm0451600,nm0434318,nm0434318,nm0788906","nm0441322,nm0756313,nm0794364",nm0788906
tt0102103,Impromptu,Impromptu,1991,107,"Biography,Comedy,Music",nm0487567,nm0449576,6.8,5865,"nm0000424,nm0001597,nm0001696,nm0114460,nm0004248,nm0734668","nm0001114,nm0001613,nm0000668,nm0557281","nm0645596,nm0792320"
tt0102116,The Indian Runner,The Indian Runner,1991,127,Drama,nm0000576,nm0000576,6.9,10252,"nm0001556,nm0001557,nm0000314,nm0000454,nm0722468,nm0744167,nm0187704","nm0000420,nm0000099,nm0006800",nm0680364
tt0102136,I Don't Kiss,J'embrasse pas,1991,115,"Adventure,Crime,Drama",nm0029242,"nm0634500,nm0029242,nm0342611",6.7,1564,"nm0634159,nm0086952,nm0221527,nm0076178,nm0954704,nm0010575","nm0000322,nm0898653,nm0332650,nm0604331","nm0076548,nm0479291,nm0833819"
