tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt1091207,Teenage Dirtbag,Teenage Dirtbag,2009,106,Drama,nm2753577,nm2753577,7.0,3094
tt10912116,UnTrue,UnTrue,2019,104,"Drama,Thriller",nm2332718,nm2332718,6.7,527
tt10915060,The Crimes That Bind,Crímenes de familia,2020,99,"Crime,Drama,Thriller",nm0994416,"nm1545566,nm0994416",6.7,4841
tt10915286,Tell Me Who I Am,Tell Me Who I Am,2019,86,"Documentary,Drama,Mystery",nm3598290,\N,7.6,19286
tt10916102,Bahut Hua Sammaan,Bahut Hua Sammaan,2020,125,"Comedy,Crime,Drama",nm3262773,"nm8870300,nm5073008",7.2,4336
tt1091722,Adventureland,Adventureland,2009,107,"Comedy,Drama,Romance",nm0609549,nm0609549,6.8,173566
tt1091863,With Great Power: The Stan Lee Story,With Great Power: The Stan Lee Story,2010,80,"Biography,Documentary","nm0234806,nm2759833,nm0381537",\N,7.1,1151
tt10919132,Love Mocktail,Love Mocktail,2020,153,"Drama,Romance",nm9135703,nm9135703,8.2,4794
tt10919240,Malik,Malik,2021,162,"Action,Biography,Crime",nm3525879,nm3525879,8.0,14984
tt1092004,Glass,Glass: A Portrait of Philip in Twelve Parts,2007,119,"Biography,Documentary,Music",nm0382956,\N,7.3,789
tt1092007,Heavy Metal in Baghdad,Heavy Metal in Baghdad,2007,84,"Documentary,Music,War","nm2448616,nm2450477","nm2448616,nm1464662",7.6,1187
tt1092016,My Name Ain't Johnny,Meu Nome Não é Johnny,2008,124,"Biography,Crime,Drama",nm0510681,"nm16188639,nm0508190,nm0510681",7.2,8605
tt1092019,TBS,TBS,2008,88,"Crime,Thriller",nm0474233,"nm1007747,nm0474233",7.1,3533
tt1092021,The Investigator,A nyomozó,2008,107,"Comedy,Crime,Drama",nm1029564,nm1029564,7.4,2828
tt1092026,Paul,Paul,2011,104,"Adventure,Comedy,Sci-Fi",nm0609549,"nm0670408,nm0296545",6.9,278388
tt10922508,Shelby American: The Carroll Shelby Story,Shelby American,2019,119,"Biography,Documentary,History","nm1969889,nm0004805",\N,7.4,709
tt10924716,The Crystal Calls - Making the Dark Crystal: Age of Resistance,The Crystal Calls - Making the Dark Crystal: Age of Resistance,2019,82,Documentary,nm4902126,\N,7.5,608
tt10925770,"Cheer Up, Mr. Lee","Himeul naeyo, Miseuteo Lee",2019,111,"Comedy,Drama,Family",nm2078406,nm11436283,7.0,613
tt10927554,Klovn the Final,Klovn the Final,2020,94,Comedy,nm1031708,"nm0159745,nm0404809,nm1031708",6.6,2998
tt10928202,Hawa,Hawa,2022,131,"Drama,Mystery",nm10969193,"nm10969193,nm9153136,nm11231008",7.6,7260
tt10932100,Imperfect,"Imperfect: Karir, Cinta & Timbangan",2019,113,"Comedy,Drama,Romance",nm7609198,"nm10316503,nm7609198",7.7,1658
tt1093370,Jab We Met,Jab We Met,2007,138,"Comedy,Drama,Romance",nm1665004,nm1665004,7.9,64145
tt1093382,Non pensarci,Non pensarci,2007,105,"Comedy,Drama",nm0952820,"nm0952820,nm1614496",6.8,1255
tt10935956,Kira & El Gin,Kira & El Gin,2022,175,"Action,Drama,History",nm1441566,nm6211716,7.9,5423
tt1093815,"Continental, a Film Without Guns","Continental, un film sans fusil",2007,103,"Comedy,Drama",nm0480894,nm0480894,6.8,697
tt1093824,Encounters at the End of the World,Encounters at the End of the World,2007,99,Documentary,nm0001348,nm0001348,7.7,19928
tt1093836,Lou Reed: Berlin,Lou Reed: Berlin,2007,85,"Documentary,Music",nm0773603,\N,7.3,906
tt1093842,My Winnipeg,My Winnipeg,2007,80,"Comedy,Drama,Fantasy",nm0534665,"nm0534665,nm0866014",7.5,5949
tt10942220,Kabaddi Kabaddi Kabaddi,Kabaddi Kabaddi Kabaddi,2019,115,"Comedy,Drama,Romance",nm6458915,"nm6458915,nm7773559",7.5,1231
tt1094241,Bride Flight,Bride Flight,2008,130,"Drama,Romance",nm0813786,nm0688745,7.0,2938
tt1094275,Under the Bombs,Sous les bombes,2007,98,"Drama,Romance,War",nm2127004,"nm2127004,nm0529706",7.0,1804
tt1094278,Tricks,Sztuczki,2007,95,"Comedy,Drama",nm1435889,nm1435889,7.0,2212
tt1094291,The Most Distant Course,Zui yao yuan de ju li,2007,110,Drama,nm0510905,nm0510905,6.7,695
tt10944596,Here Today,Here Today,2021,117,"Comedy,Drama,Music",nm0000345,"nm0958993,nm0000345",6.7,6450
tt1094594,Sigur Rós: Heima,Sigur Rós: Heima,2007,97,"Documentary,Music",nm0213450,\N,8.4,8445
tt1094627,Buddha Collapsed Out of Shame,Buda as sharm foru rikht,2007,81,"Drama,War",nm0538529,nm0581863,7.3,2452
tt1094666,The Hammer,Hamill,2010,108,"Biography,Drama,Sport",nm1464150,"nm1670295,nm1559624",6.9,1923
tt10948718,The Heist of the Century,El robo del siglo,2020,114,"Action,Biography,Comedy",nm1033668,"nm1409139,nm2219533,nm13790212,nm8118444",7.1,11980
tt10949122,El Houb - The Love,El Houb,2022,102,Drama,nm2333349,"nm2333349,nm1911240,nm2815675,nm5374356,nm2965221",7.0,614
tt1095217,Bad Lieutenant: Port of Call New Orleans,The Bad Lieutenant: Port of Call - New Orleans,2009,122,"Crime,Drama,Mystery",nm0001348,nm0277925,6.6,83945
tt1095421,Ramchand Pakistani,Ramchand Pakistani,2008,103,Drama,nm0412963,"nm1880408,nm0412961",7.5,1296
tt1095427,Skin,Skin,2008,85,"Drama,History",nm1335774,"nm2759939,nm1911240,nm1335774",6.8,1113
tt1095442,Goodbye Solo,Goodbye Solo,2008,91,Drama,nm1023919,"nm2478512,nm1023919",7.3,6242
tt10954984,Nope,Nope,2022,130,"Horror,Mystery,Sci-Fi",nm1443502,nm1443502,6.8,309364
tt10964430,Thappad,Thappad,2020,142,Drama,nm1025280,"nm3462590,nm1025280",7.0,27657
tt10965850,"Bruno Reidal, Confessions of a Murderer",Bruno Reidal,2021,101,"Biography,Crime,Drama",nm4189845,nm4189845,6.6,1032
tt1097239,Joy Division,Joy Division,2007,93,"Documentary,Music",nm0311532,nm0767319,7.7,4054
tt10975520,Twilight's Kiss,Suk suk,2019,92,Drama,nm1794148,nm1794148,7.1,1771
tt1097643,Fifty Dead Men Walking,Fifty Dead Men Walking,2008,117,"Crime,Drama,Thriller",nm0804556,"nm2855608,nm3120627,nm0804556",6.8,11902
tt10981202,Her Blue Sky,Sora no aosa o shiru hito yo,2019,106,"Animation,Drama,Family",nm2171473,"nm1872030,nm2171473,nm2584046",6.8,2102
tt10981304,Sreekaram,Sreekaram,2021,122,Drama,nm11304276,"nm11304276,nm7339980,nm14331436",7.3,3458
tt1098226,Adrift in Tokyo,Tenten,2007,101,Comedy,nm1892800,"nm2464294,nm1892800",7.2,3254
tt10984580,Utama,Utama,2022,87,Drama,nm5402280,nm5402280,7.1,2417
tt10986222,C'mon C'mon,C'mon C'mon,2021,109,Drama,nm0590122,nm0590122,7.3,42202
tt1099196,Dil Dosti Etc,Dil Dosti Etc,2007,112,"Comedy,Crime,Drama",nm3578603,"nm2333804,nm2864993,nm3673852,nm3789785,nm2767023,nm3789652,nm3578603",6.9,2994
tt10996896,Gundu,Irandam Ulagaporin Kadaisi Gundu,2019,141,Drama,nm11004601,nm11004601,7.1,1120
tt10999120,Spirited,Spirited,2022,127,"Comedy,Family,Fantasy",nm1890845,"nm1890845,nm1898234,nm0002042",6.6,56870
tt1100048,35 Shots of Rum,35 rhums,2008,100,Drama,nm0219136,"nm0219136,nm0267288",7.1,5580
tt1100089,Foxcatcher,Foxcatcher,2014,134,"Biography,Drama,History",nm0587955,"nm0296861,nm0001246",7.0,153959
tt11003218,Pig,Pig,2021,92,"Drama,Mystery",nm3968825,"nm10324382,nm3968825",6.9,102570
tt11007444,Tove,Tove,2020,103,"Biography,Drama",nm1039438,"nm2469871,nm2862817",6.8,4230
tt1101026,Admiral,Admiral,2008,124,"Biography,Drama,History",nm1550132,"nm0885433,nm0183292",6.6,8951
tt11012320,The Hole,Il buco,2021,93,Drama,nm1506005,"nm1506005,nm0321310",6.6,2137
tt11015214,Class Action Park,Class Action Park,2020,90,"Crime,Documentary","nm6259528,nm7506669","nm7506669,nm6259528",7.0,8829
tt1101665,Shaurya,Shaurya: It Takes Courage to Make Right... Right,2008,149,"Crime,Drama,Thriller",nm1885534,"nm1885534,nm2779145,nm2701835",7.3,5955
tt1101675,Lake Tahoe,Lake Tahoe,2008,89,Drama,nm0251774,"nm0251774,nm0546008",6.6,1793
tt1102316,One More Chance,One More Chance,2007,115,"Drama,Romance",nm1283069,"nm2259635,nm2268581",7.5,932
tt11023732,Virata Parvam,Virata Parvam,2022,151,"Action,Drama,Romance",nm9721958,"nm16413894,nm9721958",6.6,3336
tt11023754,Home Minister,Home Minister,2022,124,"Action,Drama",nm11017569,\N,7.4,1129
tt11023922,Spirits in the Forest,Spirits in the Forest,2019,83,"Documentary,Music","nm0179221,nm5049133,nm4029843",\N,7.5,1409
tt11026788,Ye Mard Bechara,Ye Mard bechara,2021,134,Comedy,nm10372788,nm10372788,7.7,1073
tt11027830,Haseen Dillruba,Haseen Dillruba,2021,135,"Crime,Drama,Mystery",nm5932553,nm2837117,6.9,34563
tt11028122,Billion Dollar Heist,Billion Dollar Heist,2023,84,"Crime,Documentary","nm1326085,nm0232952,nm3207917","nm2252968,nm8922358,nm0232952,nm3207917,nm1195574",6.8,726
tt11028768,The People Upstairs,Sentimental,2020,82,Comedy,nm0310747,nm0310747,6.6,3673
tt11032374,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,Gekijô-ban Kimetsu no Yaiba Mugen Ressha-hen,2020,117,"Action,Adventure,Animation",nm1417038,nm10281577,8.2,95191
tt1103275,Two Lovers,Two Lovers,2008,110,"Drama,Romance",nm0336695,"nm0336695,nm0579453",7.0,45378
tt11033952,Square One: Michael Jackson,Square One,2019,83,Documentary,nm11021626,"nm11025011,nm11021626",7.4,2132
tt11034894,Kaiserschmarrndrama,Kaiserschmarrndrama,2021,96,"Comedy,Crime",nm0381305,"nm0079497,nm5719121,nm0381305",6.9,1732
tt1103963,24 City,Er shi si cheng ji,2008,112,"Documentary,Drama",nm0422605,"nm2999214,nm0422605",7.1,2553
tt1104001,Tron: Legacy,Tron: Legacy,2010,125,"Action,Adventure,Sci-Fi",nm2676052,"nm0457736,nm0395271,nm0460206,nm1600872,nm0513974,nm0531381",6.8,381087
tt11041106,The Justice of Bunny King,The Justice of Bunny King,2021,101,Drama,nm0857170,"nm1440499,nm0857170,nm3089836",6.7,825
tt11042658,Gantumoote,Gantumoote,2019,115,"Drama,Romance",nm8593411,nm8593411,8.0,1042
tt11044122,Never Surrender: A Galaxy Quest Documentary,Never Surrender: A Galaxy Quest Documentary,2019,95,Documentary,nm3429301,\N,7.7,2270
tt11046300,Ujda Chaman,Ujda Chaman,2019,120,Comedy,nm2391751,"nm11026114,nm8833077",6.9,5841
tt1104694,Garbage Warrior,Garbage Warrior,2007,86,Documentary,nm0388091,\N,7.7,810
tt1104806,One Week,One Week,2008,94,"Adventure,Drama",nm1313340,nm1313340,7.0,12261
tt11050886,The Only Way Out,Jedini izlaz,2021,110,"Mystery,Thriller",nm3644312,nm2441460,6.6,1048
tt11051974,Your Eyes Tell,Kimi no me ga toikaketeiru,2020,123,"Drama,Romance",nm3410783,nm2910810,7.4,2446
tt1105263,Bleach: Memories of Nobody,Bleach: Memories of Nobody,2006,87,"Action,Adventure,Animation",nm0008352,"nm0812228,nm1818197",7.1,5538
tt11052808,Kim Ji-young: Born 1982,82 nyeonsaeng Kim Ji-yeong,2019,118,Drama,nm5999730,"nm5999730,nm12011967,nm5587369",7.3,4783
tt1105355,Growing Up Smith,Good Ol' Boy,2015,102,"Comedy,Drama,Family",nm1638157,"nm0631413,nm0703954,nm0369355",6.7,1587
tt11055922,Fat Fiction,Fat Fiction,2020,102,Documentary,nm2696313,nm2696313,7.7,3497
tt1105732,Loss,Nereikalingi zmones,2008,96,Drama,nm2206685,"nm2206685,nm2205267",6.8,1046
tt11066130,Upstarts,Upstarts,2019,112,Drama,nm4316542,"nm11040930,nm4316542",6.7,995
tt11068094,White Bird,White Bird,2023,121,"Biography,Drama,Family",nm0286975,"nm0093560,nm5383459",7.3,7898
tt11068166,All Hands on Deck,À l'abordage,2020,95,"Comedy,Drama",nm2145328,"nm2145328,nm1771591",7.0,2785
tt11070230,My Prince Edward,Gam dou,2019,92,Drama,nm3925655,nm3925655,6.8,1013
tt11075264,Thallumaala,Thallumaala,2022,148,"Action,Comedy,Drama",nm7881475,"nm10622004,nm7473972",7.0,7904
tt1107807,The Detective,C+ jing taam,2007,109,"Drama,Thriller",nm0161152,"nm0161152,nm2259114,nm2781586",6.6,1357
tt1107850,Unrelated,Unrelated,2007,100,Drama,nm0389712,nm0389712,6.7,3139
tt11080108,The Map of Tiny Perfect Things,The Map of Tiny Perfect Things,2021,98,"Comedy,Fantasy,Romance",nm3859682,nm5107819,6.8,32524
tt11080676,Next Door,Nebenan,2021,92,"Comedy,Drama",nm0117709,"nm2479406,nm0117709",6.8,4338
tt11081744,The Common Story,Realna prica,2019,91,"Comedy,Drama",nm0452190,"nm0452190,nm1474292",7.4,1343
tt11083552,Wrath of Man,Wrath of Man,2021,119,"Action,Crime,Thriller",nm0005363,"nm0099398,nm0078704,nm0005363,nm6842463,nm3044095",7.1,232325
tt11086194,Thankam,Thankam,2023,145,"Crime,Drama","nm8835525,nm11042004",nm4544331,7.1,3946
tt11092178,The Snow Sister,Snøsøsteren,2024,96,"Drama,Family",nm0039402,"nm8721091,nm3206480,nm0707392",7.0,2303
tt11092594,My Name Is Pauli Murray,My Name Is Pauli Murray,2021,91,"Biography,Documentary","nm3792517,nm1723335","nm2233955,nm3792517,nm3445131,nm1723335",7.1,547
tt11093266,Peaceful,De son vivant,2021,122,Drama,nm0073384,"nm0073384,nm0738925",6.8,1048
tt11095742,Boys State,Boys State,2020,109,Documentary,"nm1402872,nm0608999",\N,7.6,6122
tt11095810,Rom,Ròm,2019,79,"Crime,Drama",nm11046058,nm11046058,6.8,713
tt1109624,Paddington,Paddington,2014,95,"Adventure,Comedy,Family",nm1653753,"nm1653753,nm0566100,nm1286491",7.3,152395
tt1110207,Under the Salt,Bajo la sal,2008,112,"Horror,Mystery,Thriller",nm1592574,"nm2461907,nm1592574",6.7,1212
tt11107074,My Hero Academia: Heroes Rising,Boku no Hîrô Akademia za Mûbî Hîrôzu: Raijingu,2019,104,"Action,Adventure,Animation",nm2568279,"nm9484837,nm0475853,nm3619235",7.8,11926
tt1111313,The Elephant in the Living Room,The Elephant in the Living Room,2010,96,Documentary,nm0916412,nm0916412,7.3,1197
tt1111876,Balibo,Balibo,2009,111,"Biography,Drama,History",nm0175352,"nm0932011,nm0175352,nm3602744",7.0,3048
tt1111914,Kadha Parayumbol...,Kadha Parayumbol...,2007,130,"Comedy,Drama",nm2792408,nm0820208,7.7,1695
tt11120378,The Once and Future Smash,The Once and Future Smash,2022,87,"Comedy,Horror","nm4677186,nm4664031","nm4677186,nm4664031,nm5516273,nm1373891",7.5,1311
tt1112115,King Corn,King Corn,2007,88,Documentary,nm1012499,"nm1012499,nm2782976,nm2788676,nm1446773",7.0,2123
tt11121664,Blue Bayou,Blue Bayou,2021,117,"Crime,Drama",nm2014390,nm2014390,7.1,11606
tt11122316,Ardab Mutiyaran,Ardab Mutiyaran,2019,138,Drama,nm10406142,"nm3057599,nm15728991",7.3,731
tt11123132,Amercement,Prostimo,2020,101,Drama,nm1163455,"nm4077527,nm1163455,nm4727042",6.8,1330
tt11127680,Boiling Point,Boiling Point,2021,92,"Drama,Thriller",nm0053028,"nm0053028,nm8983821",7.5,53681
tt11131032,League of Legends Origins,League of Legends Origins,2019,77,Documentary,nm0412649,\N,6.6,1096
tt11131896,Aswang,Aswang,2019,85,Documentary,nm4782940,nm4782940,7.6,526
tt11135936,High & Low: The Worst,High & Low: The Worst,2019,125,Action,nm8093048,\N,6.8,912
tt11137920,Garuda,Garuda,2022,145,Drama,nm11071012,nm8412840,7.7,3287
tt1113810,M like Mother,Mim mesle madar,2006,113,Drama,nm2202052,nm2202052,7.4,6001
tt1113829,George Harrison: Living in the Material World,George Harrison: Living in the Material World,2011,208,"Biography,Documentary,Music",nm0000217,\N,8.1,13231
tt11138512,The Northman,The Northman,2022,137,"Action,Adventure,Drama",nm3211470,"nm0797604,nm3211470",7.0,291381
tt11138912,Vickida No Varghodo,Vickida No Varghodo,2022,156,"Comedy,Drama","nm9120111,nm9226209","nm9120111,nm9226209",8.0,3716
tt1114271,Thursday,Thursday,2006,89,"Action,Adventure,Crime",nm2792443,"nm2793149,nm2629400",8.6,6416
tt11142762,Pagglait,Pagglait,2021,114,"Comedy,Drama","nm6235677,nm16866236,nm16653058,nm16652789",nm6235677,6.9,11712
tt1114277,Up the Yangtze,Up the Yangtze,2007,93,Documentary,nm1374747,nm1374747,7.5,1995
tt11143108,Oh My Kadavule,Oh My Kadavule,2020,151,"Comedy,Fantasy,Romance",nm11065997,nm11065997,8.0,5808
tt11143196,Popcorn Monkey Tiger,Popcorn Monkey Tiger,2019,134,"Action,Crime",nm4148549,nm4148549,7.3,546
tt11143400,Dikkiloona,Dikkiloona,2021,144,"Comedy,Romance,Sci-Fi",nm11066253,nm11066253,7.2,4046
tt11143480,Kasada Thapara,Kasada Thapara,2021,137,Drama,nm2435980,\N,7.3,1405
tt11143634,All of Us,All of Us,2019,112,Drama,nm0909429,nm0909429,6.9,1662
tt11145118,Creed III,Creed III,2023,116,"Action,Drama,Sport",nm0430107,"nm5462940,nm1598140,nm3363032,nm0000230",6.7,104347
tt1114680,That Evening Sun,That Evening Sun,2009,109,Drama,nm1802374,"nm1802374,nm2793287",7.0,3072
tt1114690,Rooster's Breakfast,Petelinji zajtrk,2007,124,"Drama,Romance",nm1252599,"nm1644573,nm1252599",7.5,1873
tt1114712,White Night Wedding,Brúðguminn,2008,96,"Comedy,Drama,Romance",nm0466349,"nm0466349,nm0251033",6.6,1478
tt1114723,The Man Who Loved Yngve,Mannen som elsket Yngve,2008,90,"Comedy,Drama,Music",nm0471622,nm1123929,7.1,5228
tt11150680,The Pit,Bedre,2020,107,Drama,nm1797523,"nm11069042,nm9413330,nm1797523,nm4593210",6.9,648
tt11151982,Goblin Slayer: Goblin's Crown,Goblin Slayer: Goblin's Crown,2020,85,"Action,Adventure,Animation",nm2041678,"nm10507710,nm6755373,nm0475594",6.6,2443
tt11156566,Phantom of the Ice,Phantom of the Ice,2024,108,Sport,nm7484423,nm7484423,7.0,756
tt11157186,Adventures Italian Style,Est - Dittatura Last Minute,2020,104,"Comedy,Drama",nm2358850,nm2358850,6.8,633
tt11158930,5 Minutes Too Late,5 Minute,2019,106,Drama,nm0158305,nm0158305,7.2,621
tt11160650,On the Count of Three,On the Count of Three,2021,86,"Comedy,Crime,Drama",nm4273797,"nm6144403,nm9429903",7.0,10121
tt11161474,Pieces of a Woman,Pieces of a Woman,2020,126,Drama,nm0610960,nm0970537,7.0,59355
tt1116184,Jackass 3D,Jackass 3D,2010,94,"Action,Comedy,Documentary",nm0871860,"nm0871860,nm0424216,nm0546640,nm0828177,nm0690686,nm0242756,nm0010338,nm1035634,nm0569199,nm0257424,nm0005069,nm0519671,nm2045682,nm3052256,nm1328615,nm1331666,nm4122527,nm1029878,nm0292712,nm1017027,nm1079524,nm1029269,nm2207459,nm1030622",7.0,70455
tt11169050,Supernova,Supernova,2020,95,"Drama,Romance",nm2982240,nm2982240,6.9,15869
tt11170942,Polvo,Polvo,2019,88,"Comedy,Crime",nm0946962,"nm10116055,nm0946962",6.8,642
tt11173106,Sufna,Sufna,2020,144,Romance,"nm6054966,nm15251877","nm6054966,nm17389635,nm17632547",8.0,2418
tt11173160,Qismat 2,Qismat 2,2021,155,"Drama,Romance",nm6054966,"nm6054966,nm17870856",6.8,1884
tt11173544,JFK Revisited: Through the Looking Glass,JFK Revisited: Through the Looking Glass,2021,118,"Documentary,History",nm0000231,nm0226394,7.5,4791
tt1117385,Felon,Felon,2008,104,"Action,Drama,Thriller",nm0006846,nm0006846,7.4,87124
tt1117394,Transcendent Man,Transcendent Man,2009,83,Documentary,nm1182222,\N,7.1,1920
tt11177804,Jiang Ziya,Jiang Ziya,2020,110,"Action,Adventure,Animation","nm6538002,nm5945719","nm17018329,nm14502495,nm8358501",6.6,2796
tt11178402,Mickey: The Story of a Mouse,Mickey: The Story of a Mouse,2022,89,"Biography,Documentary",nm0540220,\N,6.9,1095
tt1118084,All Will Be Well,Wszystko bedzie dobrze,2007,98,Drama,nm0936600,"nm0116784,nm2858128,nm0936600",7.1,681
tt11182994,Zillion,Zillion,2022,138,"Biography,Crime,Drama",nm3774632,"nm3774632,nm2027655",7.2,4064
tt11188010,Nobody Has to Know,Nobody Has to Know,2021,99,"Drama,Romance","nm2139803,nm0099521","nm0099521,nm1166131",6.6,1171
tt11188154,WeWork: or The Making and Breaking of a $47 Billion Unicorn,WeWork,2021,104,Documentary,nm1160206,nm1160206,6.6,3965
tt11188206,15 Minutes of Shame,15 Minutes of Shame,2021,85,Documentary,nm3273000,\N,6.8,1073
tt11188850,Biking Borders,Biking Borders,2021,90,Documentary,nm11087158,\N,7.7,1236
tt11189056,George Reddy,George Reddy,2019,153,"Action,Biography","nm9664965,nm11220764",\N,6.9,1561
tt11189708,Dew,Dew,2019,123,"Drama,Romance",nm1840848,"nm11264419,nm1840848",6.7,698
tt11191356,Dear Future Children,Dear Future Children,2021,89,"Biography,Documentary",nm8574836,\N,7.4,3953
tt1119194,The Piano Forest,Piano no mori,2007,101,"Animation,Drama,Fantasy",nm0463628,"nm2398270,nm2801527",7.1,1873
tt1119199,A Man Who Was Superman,Syoo-peo-maen-i-sseo-deon sa-na-i,2008,102,"Comedy,Drama",nm1924976,"nm4406838,nm1924976,nm3005740",7.2,2355
tt1119646,The Hangover,The Hangover,2009,100,Comedy,nm0680846,"nm0524190,nm0601859",7.7,910858
tt11198810,She Said,She Said,2022,129,"Crime,Drama,History",nm0775056,"nm0501947,nm3117337,nm6663648,nm2948957",7.3,48578
tt11199356,Bheeshma,Bheeshma,2020,150,"Action,Comedy,Romance",nm9391630,"nm9391630,nm16049743,nm5509805",6.6,5543
tt11199856,Defunct,Apostratos,2019,100,"Comedy,Drama",nm2705657,nm2705657,6.9,760
tt11203468,Saekano: How to Raise a Boring Girlfriend Fine,Saenai Heroine no Sodate-kata. Fine,2019,115,"Animation,Comedy,Romance","nm6167643,nm1567684",nm7615448,7.6,793
tt11204094,The Duke,The Duke,2020,95,"Biography,Comedy,Crime",nm0585011,"nm3360668,nm1341253",6.9,15789
tt11204286,Vellapanti,Vellapanti,2025,139,"Comedy,Crime,Romance",nm5990160,"nm11620580,nm10718455,nm11264438",7.0,2147
tt1120985,Blue Valentine,Blue Valentine,2010,112,"Drama,Romance",nm0161834,"nm0161834,nm0193387,nm2337556",7.3,222403
tt11210032,Sheep Without a Shepherd,Wu sha,2019,112,"Crime,Drama,Thriller",nm6489637,"nm11097638,nm2572228,nm11097635,nm11097637,nm11097639,nm6651458,nm11097636",6.8,2168
tt11214590,House of Gucci,House of Gucci,2021,158,"Biography,Crime,Drama",nm0000631,"nm0426539,nm1894782,nm11099905",6.6,172074
tt1121794,Sword of the Stranger,Sutorenjia: Mukô hadan,2007,103,"Action,Adventure,Animation",nm1622836,"nm1622836,nm0847432",7.7,19467
tt11219254,We Made a Beautiful Bouquet,Hanatabamitai na koi o shita,2021,124,"Drama,Romance",nm2391552,nm0757111,7.5,4722
tt1121977,Mother and Child,Mother and Child,2009,125,"Drama,Romance",nm0006554,nm0006554,7.2,13219
tt17351924,Saltburn,Saltburn,2023,131,"Drama,Thriller",nm2193504,nm2193504,7.0,254823
tt1735200,When Pigs Have Wings,Le Cochon de Gaza,2011,98,Comedy,nm3742814,nm3742814,7.0,3653
tt1736049,A Place at the Table,A Place at the Table,2012,84,Documentary,"nm1097475,nm1091262",\N,6.9,1253
tt1736633,"Oslo, August 31st","Oslo, 31. august",2011,95,Drama,nm1258686,"nm1258686,nm0478934,nm1258777",7.6,32461
tt1736636,Nobody Else But You,Poupoupidou,2011,102,"Comedy,Crime,Mystery",nm0404080,"nm0404080,nm0758118",6.6,3094
tt1737156,Dui Prithibi,Dui Prithibi,2010,150,"Drama,Romance",nm3354020,nm3370087,6.7,1705
tt1737237,Lost on Journey,Ren zai jiong tu,2010,91,Comedy,nm0948145,"nm2304931,nm9537862,nm6339809,nm6978957",6.8,3128
tt17374778,Strangeness,La stranezza,2022,103,"Comedy,Drama",nm0027948,"nm0027948,nm0158323,nm0309979",6.7,2041
tt1737674,PressPausePlay,PressPausePlay,2011,80,"Documentary,Music","nm3634130,nm3635631",\N,7.3,1533
tt1737747,Something Ventured,Something Ventured,2011,84,"Biography,Documentary,History","nm0002739,nm0325603",\N,7.0,824
tt17382524,"The Tunnel to Summer, the Exit of Goodbyes","Natsu e no tunnel, Sayonara no deguchi",2022,85,"Animation,Drama,Fantasy",nm5263494,"nm13334127,nm5263494",7.1,5899
tt1738293,Khichdi: The Movie,Khichdi: The Movie,2010,120,"Comedy,Family",nm0438089,nm0438089,7.3,3247
tt1740047,The Trip,The Trip,2010,112,"Comedy,Drama",nm0935863,\N,7.0,24039
tt1740707,Troll Hunter,Trolljegeren,2010,103,"Drama,Fantasy,Thriller",nm0004217,nm0004217,6.9,82425
tt1741225,I Am,I Am,2010,78,Documentary,nm0001723,\N,7.5,3973
tt1741542,Les Lyonnais,Les Lyonnais,2011,102,"Action,Crime,Drama",nm0545356,"nm0545356,nm4830242,nm4800037",6.9,9183
tt1741694,Best Intentions,Din dragoste cu cele mai bune intentii,2011,105,Drama,nm1138158,nm1138158,6.7,563
tt1741706,Wedding in Bessarabia,Nuntã în Basarabia,2009,92,Comedy,nm1768186,nm1768186,7.4,1092
tt1742044,Jersey Boys,Jersey Boys,2014,134,"Biography,Drama,Music",nm0000142,"nm0108613,nm1338811",6.8,38177
tt1742336,Your Sister's Sister,Your Sister's Sister,2011,90,"Comedy,Drama,Romance",nm1119645,nm1119645,6.7,29020
tt1743720,The Greatest Movie Ever Sold,The Greatest Movie Ever Sold,2011,90,"Comedy,Documentary",nm1041597,"nm2505733,nm1041597",6.6,15358
tt1743724,Guilty of Romance,Koi no tsumi,2011,144,"Drama,Horror,Romance",nm0814469,"nm2679146,nm0814469",6.8,6282
tt1745686,The Wall,Die Wand,2012,108,"Drama,Mystery,Sci-Fi",nm0702518,"nm4126357,nm0702518",6.7,7867
tt1745704,Seven Days in Heaven,Fu hou qi ri,2010,93,"Drama,Family","nm4126407,nm4126766","nm5845191,nm4126407",6.8,510
tt1745710,Gore Vidal: The United States of Amnesia,Gore Vidal: The United States of Amnesia,2013,83,"Biography,Documentary,History",nm1050748,\N,7.7,1336
tt1745713,Buddha Mountain,Guan yin shan,2010,105,Drama,nm1165953,"nm1165953,nm2023228",6.7,1025
tt1745787,The Tribe,Plemya,2014,126,"Crime,Drama",nm2990632,nm2990632,7.0,12577
tt1745863,Urumi: The Warriors Who Wanted to Kill Vasco Da Gama,Urumi,2011,172,"Action,Drama",nm0007144,nm3488838,7.1,2419
tt1745960,Top Gun: Maverick,Top Gun: Maverick,2022,130,"Action,Drama",nm2676052,"nm0143596,nm0258390,nm0185976,nm1098479,nm0472567,nm2545235,nm0003160",8.2,816080
tt1746153,Crime After Crime,Crime After Crime,2011,95,"Biography,Crime,Documentary",nm0693014,nm0693014,7.6,564
tt1746183,The Stoker,Kochegar,2010,87,"Crime,Drama",nm0049326,nm0049326,6.6,3024
tt1747994,Three Quarter Moon,Dreiviertelmond,2011,94,"Comedy,Drama",nm0959255,"nm0959255,nm1665609",7.0,840
