tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt0101783,God of Gamblers Part III: Back to Shanghai,Do haap II: Seung Hoi taam do sing,1991,116,"Comedy,Crime,Drama",nm0939147,"nm0939147,nm0311508,nm0477035,nm0628838",6.6,2868
tt0101798,Edward II,Edward II,1991,87,"Drama,History,Romance",nm0418746,"nm0549265,nm0418746,nm0564374,nm0125010",6.8,3296
tt0101811,Enchanted April,Enchanted April,1991,95,Drama,nm0001565,"nm0901896,nm0055726",7.3,7673
tt0101829,Europa,Europa,1991,108,"Crime,Drama,Thriller",nm0001885,"nm0001885,nm0905071",7.5,24358
tt0101862,Father of the Bride,Father of the Bride,1991,105,"Comedy,Family,Romance",nm0796124,"nm0329304,nm0352443,nm0583600,nm0796124",6.6,91022
tt0101889,The Fisher King,The Fisher King,1991,137,"Comedy,Drama,Fantasy",nm0000416,nm0481418,7.5,95481
tt0101891,The Five Heartbeats,The Five Heartbeats,1991,121,"Drama,Music",nm0870186,"nm0870186,nm0005540",7.6,5253
tt0101898,Flirting,Flirting,1991,99,"Drama,Romance",nm0241090,nm0241090,7.1,6704
tt0101912,Frankie and Johnny,Frankie & Johnny,1991,118,"Comedy,Drama,Romance",nm0005190,nm0573645,6.8,37529
tt0101921,Fried Green Tomatoes,Fried Green Tomatoes,1991,130,Drama,nm0000816,"nm0280840,nm0811807",7.7,89493
tt0101923,La Frontera,La Frontera,1991,120,Drama,nm0488555,"nm0325529,nm0488555",7.4,526
tt0101943,Geniy,Geniy,1991,162,"Comedy,Crime",nm0785112,nm0012997,7.2,907
tt0101956,The Secret Face,Gizli Yüz,1991,118,"Drama,Romance",nm0442693,nm0658988,7.0,1385
tt0101969,Grand Canyon,Grand Canyon,1991,134,"Crime,Drama",nm0001410,"nm0001410,nm0440462",6.9,17332
tt0101984,Guilty by Suspicion,Guilty by Suspicion,1991,105,Drama,nm0005563,nm0005563,6.6,10277
tt0101985,A Brighter Summer Day,Guling jie shaonian sharen shijian,1991,237,"Crime,Drama,Romance",nm0945981,"nm0945981,nm0795908,nm0591312,nm0393297",8.2,14595
tt0101991,Rhapsody in August,Hachigatsu no rapusodî,1991,98,"Drama,War",nm0000041,"nm0613594,nm0000041,nm0393094",7.2,8098
tt0101995,Hamis a baba,Hamis a baba,1991,82,"Comedy,Crime",nm0119725,nm0119725,7.0,1149
tt0101998,Hangin' with the Homeboys,Hangin' with the Homeboys,1991,88,"Comedy,Drama",nm0890687,nm0890687,6.9,1650
tt0102014,Hear My Song,Hear My Song,1991,104,"Comedy,Drama,Music",nm0155093,"nm0155093,nm0001160",7.0,2039
